date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:04	69/69	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Nov%202024%2000:32:04%20GMT	https://lanamoiseeva.com/robots.txt		(from )
19:32:05	96527/96527	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:04%20GMT	https://lanamoiseeva.com/	/Users/lana/Desktop/example_website/lanamoiseeva.com/index.html	(from )
19:32:05	11553/11553	---M--	200	added ('OK')	text/css	etag:%226723a685-2d21%22	https://lanamoiseeva.com/dist/css/main.css	/Users/lana/Desktop/example_website/lanamoiseeva.com/dist/css/main.css	(from https://lanamoiseeva.com/)
19:32:06	96527/96527	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:06%20GMT	https://lanamoiseeva.com/work	/Users/lana/Desktop/example_website/lanamoiseeva.com/work.html	(from https://lanamoiseeva.com/)
19:32:07	22622/22622	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:07%20GMT	https://lanamoiseeva.com/copy-of-design	/Users/lana/Desktop/example_website/lanamoiseeva.com/copy-of-design.html	(from https://lanamoiseeva.com/)
19:32:08	42885/42885	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:08%20GMT	https://lanamoiseeva.com/copy-of-design-1	/Users/lana/Desktop/example_website/lanamoiseeva.com/copy-of-design-1.html	(from https://lanamoiseeva.com/)
19:32:09	58423/58423	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:09%20GMT	https://lanamoiseeva.com/copy-of-design-2	/Users/lana/Desktop/example_website/lanamoiseeva.com/copy-of-design-2.html	(from https://lanamoiseeva.com/)
19:32:10	19357/19357	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:10%20GMT	https://lanamoiseeva.com/about	/Users/lana/Desktop/example_website/lanamoiseeva.com/about.html	(from https://lanamoiseeva.com/)
19:32:11	11415/11415	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:11%20GMT	https://lanamoiseeva.com/contact	/Users/lana/Desktop/example_website/lanamoiseeva.com/contact.html	(from https://lanamoiseeva.com/)
19:32:12	41118/41118	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:12%20GMT	https://lanamoiseeva.com/rbc-1	/Users/lana/Desktop/example_website/lanamoiseeva.com/rbc-1.html	(from https://lanamoiseeva.com/)
19:32:13	13393/13393	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:13%20GMT	https://lanamoiseeva.com/aviva-journey	/Users/lana/Desktop/example_website/lanamoiseeva.com/aviva-journey.html	(from https://lanamoiseeva.com/)
19:32:14	26490/26490	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:14%20GMT	https://lanamoiseeva.com/aviva-canada	/Users/lana/Desktop/example_website/lanamoiseeva.com/aviva-canada.html	(from https://lanamoiseeva.com/)
19:32:15	21238/21238	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:15%20GMT	https://lanamoiseeva.com/mobile-ux-design-the-local-volunteer	/Users/lana/Desktop/example_website/lanamoiseeva.com/mobile-ux-design-the-local-volunteer.html	(from https://lanamoiseeva.com/)
19:32:16	27639/27639	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:16%20GMT	https://lanamoiseeva.com/florena-brand-style-guidemobile-app	/Users/lana/Desktop/example_website/lanamoiseeva.com/florena-brand-style-guidemobile-app.html	(from https://lanamoiseeva.com/)
19:32:17	38891/38891	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:17%20GMT	https://lanamoiseeva.com/1love-brand-style-guide	/Users/lana/Desktop/example_website/lanamoiseeva.com/1love-brand-style-guide.html	(from https://lanamoiseeva.com/)
19:32:18	16450/16450	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:18%20GMT	https://lanamoiseeva.com/goodpoint	/Users/lana/Desktop/example_website/lanamoiseeva.com/goodpoint.html	(from https://lanamoiseeva.com/)
19:32:19	33506/33506	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:19%20GMT	https://lanamoiseeva.com/corporate-identity-science-institute	/Users/lana/Desktop/example_website/lanamoiseeva.com/corporate-identity-science-institute.html	(from https://lanamoiseeva.com/)
19:32:20	11232/11232	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202024%2000:32:20%20GMT	https://lanamoiseeva.com/calendar	/Users/lana/Desktop/example_website/lanamoiseeva.com/calendar.html	(from https://lanamoiseeva.com/)
